feature,importance
BankruptcyHistory,0.35972527
payment_capacity,0.12614438
AnnualIncome*NetWorth,0.07959227
PreviousLoanDefaults,0.06586112
DebtToIncomeRatio,0.034608338
InterestRate,0.024742153
CreditScore*NetWorth,0.020559255
AnnualIncome*TotalAssets,0.017623948
NetWorth^2,0.01635442
AnnualIncome*CreditScore,0.016101906
TotalDebtToIncomeRatio,0.016066322
CreditScore,0.015654063
LengthOfCreditHistory,0.015545862
loan_to_income_ratio,0.012778302
EmploymentStatus_Unemployed,0.012003845
NetWorth,0.010968772
EmploymentStatus_Self-Employed,0.008652196
CreditScore^2,0.008033932
EducationLevel,0.007140605
MonthlyIncome,0.0057203565
AnnualIncome,0.0056728777
AnnualIncome^2,0.0054811626
CreditCardUtilizationRate,0.0044669495
LoanAmount^2,0.0039326814
CreditScore*LoanAmount,0.003762037
TotalAssets*NetWorth,0.0036376605
CreditScore*TotalAssets,0.0035987222
TotalAssets^2,0.003569721
BaseInterestRate,0.0035318087
Experience,0.0033819508
LoanDuration,0.0032924227
LoanAmount,0.0032790168
Age,0.0030746264
debt_burden,0.0028566811
HomeOwnershipStatus_Other,0.0027684525
LoanAmount*NetWorth,0.0026792043
HomeOwnershipStatus_Rent,0.002620124
LoanPurpose_Education,0.0026034797
TotalAssets,0.002581769
MonthlyLoanPayment,0.002546381
applicationdate_month,0.0024561035
AnnualIncome*LoanAmount,0.0024552336
LoanAmount*TotalAssets,0.0024208329
PaymentHistory,0.0023940864
LoanAmount*TotalLiabilities,0.0023603572
CreditScore*TotalLiabilities,0.0022538477
TotalLiabilities*NetWorth,0.0022115593
SavingsAccountBalance,0.0021330153
liquidity_ratio,0.0020674623
CheckingAccountBalance,0.0020638604
TotalLiabilities,0.0020272164
TotalLiabilities^2,0.0019922028
HomeOwnershipStatus_Own,0.0019630769
MonthlyDebtPayments,0.0019474021
TotalAssets*TotalLiabilities,0.0019170145
applicationdate_day,0.0018854819
NumberOfDependents,0.0018573836
NumberOfOpenCreditLines,0.0018538617
UtilityBillsPaymentHistory,0.0018161793
applicationdate_year,0.0018088395
NumberOfCreditInquiries,0.0017700595
AnnualIncome*TotalLiabilities,0.0017666095
MaritalStatus_Widowed,0.0017615561
LoanPurpose_Other,0.0017244582
LoanPurpose_Debt Consolidation,0.0016630956
JobTenure,0.0016131942
MaritalStatus_Single,0.0015969609
MaritalStatus_Married,0.0015463594
LoanPurpose_Home,0.0014576413
